SORUNLARI BİRLİKTE ÇÖZÜYORUZ — EDIT-PLAN
=========================================================================
Klip: 56/57 · VO: 234.0s (3:53) · FPS 25
VO süreleri cümle uzunluğuna göre DAĞITILMIŞ tahmindir; kaba-kurgu.mjs --vo ile
gerçek sesten yeniden türetilir. Klip süresi ffprobe ile ÖLÇÜLDÜ.

kare      K    klip    VO      [başlangıç]   cümle
-------------------------------------------------------------------------
1.png	K01	6.04s	4.8s	[0:00]	Bu Efe; altıncı sınıfa gidiyor ve okula her sabah yürüyerek gider.
43.png	K43	5.04s	4.5s	[2:54]	Mahalle sakinleri atıklarını ayırarak kutulara atmaya başladı.
44.png	K44	5.04s	4.1s	[2:59]	Bireyler sorunlara duyarlı olmalı ve çözüme katılmalıdır.
45.png	K45	  YOK	2.7s	[3:03]	Efe ve arkadaşları bir dilekçe yazdı.
46.png	K46	5.04s	3.7s	[3:06]	Dilekçeyi okul müdürüne ve muhtarlığa ulaştırdılar.
47.png	K47	5.04s	3.5s	[3:09]	Bozuk sokak lambasını ilgili birime bildirdiler.
48.png	K48	5.04s	3.9s	[3:13]	Gönüllü olarak çevre temizliği çalışmasına katıldılar.
49.png	K49	5.04s	4s	[3:17]	Uygulanan çözüm, sonuçlarına bakılarak değerlendirilir.
50.png	K50	5.04s	4.5s	[3:21]	Bir ay sonra toplanan atık miktarı belirgin biçimde azalmıştı.
51.png	K51	5.04s	4.5s	[3:25]	Sorun sürüyorsa plan yeniden gözden geçirilir ve geliştirilir.
52.png	K52	5.04s	2.7s	[3:30]	Bir sabah Efe yine aynı köşeye geldi.
53.png	K53	5.04s	3.8s	[3:32]	Rampanın önü boştu ve Derin yukarı tek başına çıktı.
54.png	K54	5.04s	4.1s	[3:36]	Toplumsal sorunların çözümü, onları fark etmekle başlar.
55.png	K55	5.04s	3.6s	[3:40]	Sorunları fark eder, çözümleri birlikte üretiriz!
56.png	K56	5.04s	3.8s	[3:44]	Peki sen çevrende hangi toplumsal sorunu fark ettin?
57.png	K57	6.04s	5.6s	[3:48]	Cevaplarınızı yorumlara bekliyoruz; meraklı kalın, çözüm üretmeye devam edin!

TOPLAM VO: 233.9s · toplam klip: 285.3s
⛔ EKSİK KLİP: K45
